1,2018-06-08,05:00,0,0,0,0
2,2018-06-08,05:00,0,0,0,0
3,2018-06-08,05:00,0,0,0,0
4,2018-06-08,05:00,0,0,0,0
5,2018-06-08,05:00,0,0,0,0
6,2018-06-08,05:00,0,0,0,0
7,2018-06-08,05:00,0,0,0,0
8,2018-06-08,05:00,0,0,0,0
9,2018-06-08,05:00,0,0,0,0
10,2018-06-08,05:00,0,0,0,0
11,2018-06-08,05:00,1,5,1,5
12,2018-06-08,05:00,0,0,0,0
13,2018-06-08,05:00,0,0,0,0
14,2018-06-08,05:00,0,0,0,0
15,2018-06-08,05:00,0,0,0,0
16,2018-06-08,05:00,0,0,0,0
17,2018-06-08,05:00,0,0,0,0
18,2018-06-08,05:00,0,0,0,0
19,2018-06-08,05:00,0,0,0,0
1,2018-06-08,05:01,0,0,0,0
2,2018-06-08,05:01,0,0,0,0
3,2018-06-08,05:01,0,0,0,0
4,2018-06-08,05:01,0,0,0,0
5,2018-06-08,05:01,0,0,0,0
6,2018-06-08,05:01,0,0,0,0
7,2018-06-08,05:01,0,0,0,0
8,2018-06-08,05:01,0,0,0,0
9,2018-06-08,05:01,0,0,0,0
10,2018-06-08,05:01,0,0,0,0
11,2018-06-08,05:01,0,0,1,5
12,2018-06-08,05:01,0,0,0,0
13,2018-06-08,05:01,0,0,0,0
14,2018-06-08,05:01,0,0,0,0
15,2018-06-08,05:01,0,0,0,0
16,2018-06-08,05:01,0,0,0,0
17,2018-06-08,05:01,0,0,0,0
18,2018-06-08,05:01,0,0,0,0
19,2018-06-08,05:01,0,0,0,0
1,2018-06-08,05:02,0,0,0,0
2,2018-06-08,05:02,0,0,0,0
3,2018-06-08,05:02,0,0,0,0
4,2018-06-08,05:02,0,0,0,0
5,2018-06-08,05:02,0,0,0,0
6,2018-06-08,05:02,0,0,0,0
7,2018-06-08,05:02,0,0,0,0
8,2018-06-08,05:02,0,0,0,0
9,2018-06-08,05:02,0,0,0,0
10,2018-06-08,05:02,0,0,0,0
11,2018-06-08,05:02,1,1,2,6
12,2018-06-08,05:02,0,1,0,1
13,2018-06-08,05:02,1,0,1,0
14,2018-06-08,05:02,0,0,0,0
15,2018-06-08,05:02,0,0,0,0
16,2018-06-08,05:02,0,0,0,0
17,2018-06-08,05:02,0,0,0,0
18,2018-06-08,05:02,0,0,0,0
19,2018-06-08,05:02,0,0,0,0
1,2018-06-08,05:03,0,0,0,0
2,2018-06-08,05:03,0,0,0,0
3,2018-06-08,05:03,0,0,0,0
4,2018-06-08,05:03,0,0,0,0
5,2018-06-08,05:03,0,0,0,0
6,2018-06-08,05:03,0,0,0,0
7,2018-06-08,05:03,0,0,0,0
8,2018-06-08,05:03,0,0,0,0
9,2018-06-08,05:03,0,0,0,0
10,2018-06-08,05:03,0,0,0,0
11,2018-06-08,05:03,0,1,2,7
12,2018-06-08,05:03,0,0,0,1
13,2018-06-08,05:03,0,0,1,0
14,2018-06-08,05:03,0,0,0,0
15,2018-06-08,05:03,0,0,0,0
16,2018-06-08,05:03,0,0,0,0
17,2018-06-08,05:03,0,0,0,0
18,2018-06-08,05:03,0,0,0,0
19,2018-06-08,05:03,0,0,0,0
1,2018-06-08,05:04,0,0,0,0
2,2018-06-08,05:04,0,0,0,0
3,2018-06-08,05:04,0,0,0,0
4,2018-06-08,05:04,0,0,0,0
5,2018-06-08,05:04,0,0,0,0
6,2018-06-08,05:04,0,0,0,0
7,2018-06-08,05:04,0,0,0,0
8,2018-06-08,05:04,0,0,0,0
9,2018-06-08,05:04,0,0,0,0
10,2018-06-08,05:04,0,0,0,0
11,2018-06-08,05:04,0,0,2,7
12,2018-06-08,05:04,0,0,0,1
13,2018-06-08,05:04,0,0,1,0
14,2018-06-08,05:04,0,0,0,0
15,2018-06-08,05:04,0,0,0,0
16,2018-06-08,05:04,0,0,0,0
17,2018-06-08,05:04,0,0,0,0
18,2018-06-08,05:04,0,0,0,0
19,2018-06-08,05:04,0,0,0,0
1,2018-06-08,05:05,0,0,0,0
2,2018-06-08,05:05,0,0,0,0
3,2018-06-08,05:05,0,0,0,0
4,2018-06-08,05:05,0,0,0,0
5,2018-06-08,05:05,0,0,0,0
6,2018-06-08,05:05,0,0,0,0
7,2018-06-08,05:05,0,0,0,0
8,2018-06-08,05:05,0,0,0,0
9,2018-06-08,05:05,0,0,0,0
10,2018-06-08,05:05,0,0,0,0
11,2018-06-08,05:05,0,1,2,8
12,2018-06-08,05:05,0,0,0,1
13,2018-06-08,05:05,1,0,2,0
14,2018-06-08,05:05,0,0,0,0
15,2018-06-08,05:05,0,0,0,0
16,2018-06-08,05:05,0,0,0,0
17,2018-06-08,05:05,0,0,0,0
18,2018-06-08,05:05,0,0,0,0
19,2018-06-08,05:05,0,0,0,0
1,2018-06-08,05:06,0,0,0,0
2,2018-06-08,05:06,0,0,0,0
3,2018-06-08,05:06,0,0,0,0
4,2018-06-08,05:06,0,0,0,0
5,2018-06-08,05:06,0,0,0,0
6,2018-06-08,05:06,0,0,0,0
7,2018-06-08,05:06,0,0,0,0
8,2018-06-08,05:06,0,0,0,0
9,2018-06-08,05:06,0,0,0,0
10,2018-06-08,05:06,0,0,0,0
11,2018-06-08,05:06,0,0,2,8
12,2018-06-08,05:06,0,0,0,1
13,2018-06-08,05:06,0,0,2,0
14,2018-06-08,05:06,0,0,0,0
15,2018-06-08,05:06,0,0,0,0
16,2018-06-08,05:06,0,0,0,0
17,2018-06-08,05:06,0,0,0,0
18,2018-06-08,05:06,0,0,0,0
19,2018-06-08,05:06,0,0,0,0
1,2018-06-08,05:07,0,0,0,0
2,2018-06-08,05:07,0,0,0,0
3,2018-06-08,05:07,0,0,0,0
4,2018-06-08,05:07,0,0,0,0
5,2018-06-08,05:07,0,0,0,0
6,2018-06-08,05:07,0,0,0,0
7,2018-06-08,05:07,0,0,0,0
8,2018-06-08,05:07,0,0,0,0
9,2018-06-08,05:07,0,0,0,0
10,2018-06-08,05:07,0,0,0,0
11,2018-06-08,05:07,0,0,2,8
12,2018-06-08,05:07,0,0,0,1
13,2018-06-08,05:07,0,0,2,0
14,2018-06-08,05:07,0,0,0,0
15,2018-06-08,05:07,0,0,0,0
16,2018-06-08,05:07,0,0,0,0
17,2018-06-08,05:07,0,0,0,0
18,2018-06-08,05:07,0,0,0,0
19,2018-06-08,05:07,0,0,0,0
1,2018-06-08,05:08,0,0,0,0
2,2018-06-08,05:08,0,0,0,0
3,2018-06-08,05:08,0,0,0,0
4,2018-06-08,05:08,0,0,0,0
5,2018-06-08,05:08,0,0,0,0
6,2018-06-08,05:08,1,0,1,0
7,2018-06-08,05:08,0,0,0,0
8,2018-06-08,05:08,0,0,0,0
9,2018-06-08,05:08,0,0,0,0
10,2018-06-08,05:08,0,0,0,0
11,2018-06-08,05:08,0,0,2,8
12,2018-06-08,05:08,0,0,0,1
13,2018-06-08,05:08,0,0,2,0
14,2018-06-08,05:08,0,0,0,0
15,2018-06-08,05:08,0,0,0,0
16,2018-06-08,05:08,0,0,0,0
17,2018-06-08,05:08,0,0,0,0
18,2018-06-08,05:08,0,0,0,0
19,2018-06-08,05:08,0,0,0,0
1,2018-06-08,05:09,0,0,0,0
2,2018-06-08,05:09,0,0,0,0
3,2018-06-08,05:09,0,0,0,0
4,2018-06-08,05:09,0,0,0,0
5,2018-06-08,05:09,0,0,0,0
6,2018-06-08,05:09,0,0,1,0
7,2018-06-08,05:09,0,0,0,0
8,2018-06-08,05:09,0,0,0,0
9,2018-06-08,05:09,0,0,0,0
10,2018-06-08,05:09,0,0,0,0
11,2018-06-08,05:09,0,0,2,8
12,2018-06-08,05:09,0,0,0,1
13,2018-06-08,05:09,0,0,2,0
14,2018-06-08,05:09,0,0,0,0
15,2018-06-08,05:09,0,0,0,0
16,2018-06-08,05:09,0,0,0,0
17,2018-06-08,05:09,0,0,0,0
18,2018-06-08,05:09,0,0,0,0
19,2018-06-08,05:09,0,0,0,0
1,2018-06-08,05:10,0,0,0,0
2,2018-06-08,05:10,0,0,0,0
3,2018-06-08,05:10,0,0,0,0
4,2018-06-08,05:10,0,0,0,0
5,2018-06-08,05:10,0,0,0,0
6,2018-06-08,05:10,0,0,1,0
7,2018-06-08,05:10,0,0,0,0
8,2018-06-08,05:10,0,0,0,0
9,2018-06-08,05:10,2,1,2,1
10,2018-06-08,05:10,0,0,0,0
11,2018-06-08,05:10,0,0,2,8
12,2018-06-08,05:10,1,0,1,1
13,2018-06-08,05:10,0,0,2,0
14,2018-06-08,05:10,0,0,0,0
15,2018-06-08,05:10,0,0,0,0
16,2018-06-08,05:10,0,0,0,0
17,2018-06-08,05:10,0,0,0,0
18,2018-06-08,05:10,0,0,0,0
19,2018-06-08,05:10,0,0,0,0
1,2018-06-08,05:11,0,0,0,0
2,2018-06-08,05:11,0,0,0,0
3,2018-06-08,05:11,0,0,0,0
4,2018-06-08,05:11,0,0,0,0
5,2018-06-08,05:11,0,0,0,0
6,2018-06-08,05:11,0,0,1,0
7,2018-06-08,05:11,0,0,0,0
8,2018-06-08,05:11,0,0,0,0
9,2018-06-08,05:11,0,0,2,1
10,2018-06-08,05:11,0,0,0,0
11,2018-06-08,05:11,0,0,2,8
12,2018-06-08,05:11,1,0,2,1
13,2018-06-08,05:11,0,0,2,0
14,2018-06-08,05:11,0,0,0,0
15,2018-06-08,05:11,0,0,0,0
16,2018-06-08,05:11,0,0,0,0
17,2018-06-08,05:11,0,0,0,0
18,2018-06-08,05:11,0,0,0,0
19,2018-06-08,05:11,0,0,0,0
1,2018-06-08,05:12,0,0,0,0
2,2018-06-08,05:12,0,0,0,0
3,2018-06-08,05:12,0,0,0,0
4,2018-06-08,05:12,0,0,0,0
5,2018-06-08,05:12,0,0,0,0
6,2018-06-08,05:12,0,1,1,1
7,2018-06-08,05:12,0,0,0,0
8,2018-06-08,05:12,0,0,0,0
9,2018-06-08,05:12,0,1,2,2
10,2018-06-08,05:12,1,3,1,3
11,2018-06-08,05:12,0,0,2,8
12,2018-06-08,05:12,0,1,2,2
13,2018-06-08,05:12,0,0,2,0
14,2018-06-08,05:12,0,0,0,0
15,2018-06-08,05:12,0,0,0,0
16,2018-06-08,05:12,0,0,0,0
17,2018-06-08,05:12,0,0,0,0
18,2018-06-08,05:12,0,0,0,0
19,2018-06-08,05:12,0,0,0,0
1,2018-06-08,05:13,0,0,0,0
