1,2017-06-10,05:00,0,0,0,0
2,2017-06-10,05:00,0,0,0,0
3,2017-06-10,05:00,0,0,0,0
4,2017-06-10,05:00,0,0,0,0
5,2017-06-10,05:00,0,0,0,0
6,2017-06-10,05:00,0,0,0,0
7,2017-06-10,05:00,0,0,0,0
8,2017-06-10,05:00,0,0,0,0
9,2017-06-10,05:00,0,0,0,0
10,2017-06-10,05:00,0,0,0,0
11,2017-06-10,05:00,0,0,0,0
12,2017-06-10,05:00,1,0,1,0
13,2017-06-10,05:00,0,0,0,0
14,2017-06-10,05:00,0,0,0,0
15,2017-06-10,05:00,0,0,0,0
16,2017-06-10,05:00,0,0,0,0
17,2017-06-10,05:00,0,0,0,0
18,2017-06-10,05:00,0,0,0,0
19,2017-06-10,05:00,0,0,0,0
1,2017-06-10,05:01,0,0,0,0
2,2017-06-10,05:01,0,0,0,0
3,2017-06-10,05:01,0,0,0,0
4,2017-06-10,05:01,0,0,0,0
5,2017-06-10,05:01,0,0,0,0
6,2017-06-10,05:01,2,0,2,0
7,2017-06-10,05:01,0,0,0,0
8,2017-06-10,05:01,0,0,0,0
9,2017-06-10,05:01,1,0,1,0
10,2017-06-10,05:01,1,0,1,0
11,2017-06-10,05:01,0,3,0,3
12,2017-06-10,05:01,0,0,1,0
13,2017-06-10,05:01,0,0,0,0
14,2017-06-10,05:01,0,0,0,0
15,2017-06-10,05:01,0,0,0,0
16,2017-06-10,05:01,0,0,0,0
17,2017-06-10,05:01,0,0,0,0
18,2017-06-10,05:01,0,0,0,0
19,2017-06-10,05:01,0,0,0,0
1,2017-06-10,05:02,0,0,0,0
2,2017-06-10,05:02,0,0,0,0
3,2017-06-10,05:02,0,0,0,0
4,2017-06-10,05:02,0,0,0,0
5,2017-06-10,05:02,0,0,0,0
6,2017-06-10,05:02,0,0,2,0
7,2017-06-10,05:02,0,0,0,0
8,2017-06-10,05:02,0,0,0,0
9,2017-06-10,05:02,0,0,1,0
10,2017-06-10,05:02,2,1,3,1
11,2017-06-10,05:02,0,4,0,7
12,2017-06-10,05:02,0,0,1,0
13,2017-06-10,05:02,0,0,0,0
14,2017-06-10,05:02,0,0,0,0
15,2017-06-10,05:02,0,0,0,0
16,2017-06-10,05:02,0,0,0,0
17,2017-06-10,05:02,0,0,0,0
18,2017-06-10,05:02,0,0,0,0
19,2017-06-10,05:02,0,0,0,0
1,2017-06-10,05:03,0,0,0,0
2,2017-06-10,05:03,0,0,0,0
3,2017-06-10,05:03,0,0,0,0
4,2017-06-10,05:03,0,0,0,0
5,2017-06-10,05:03,0,0,0,0
6,2017-06-10,05:03,0,0,2,0
7,2017-06-10,05:03,0,0,0,0
8,2017-06-10,05:03,0,0,0,0
9,2017-06-10,05:03,0,0,1,0
10,2017-06-10,05:03,0,0,3,1
11,2017-06-10,05:03,0,1,0,8
12,2017-06-10,05:03,0,0,1,0
13,2017-06-10,05:03,2,0,2,0
14,2017-06-10,05:03,0,0,0,0
15,2017-06-10,05:03,0,0,0,0
16,2017-06-10,05:03,0,0,0,0
17,2017-06-10,05:03,0,0,0,0
18,2017-06-10,05:03,0,0,0,0
19,2017-06-10,05:03,0,0,0,0
1,2017-06-10,05:04,0,0,0,0
2,2017-06-10,05:04,0,0,0,0
3,2017-06-10,05:04,0,0,0,0
4,2017-06-10,05:04,0,0,0,0
5,2017-06-10,05:04,0,0,0,0
6,2017-06-10,05:04,0,0,2,0
7,2017-06-10,05:04,0,0,0,0
8,2017-06-10,05:04,0,0,0,0
9,2017-06-10,05:04,0,0,1,0
10,2017-06-10,05:04,0,0,3,1
11,2017-06-10,05:04,0,0,0,8
12,2017-06-10,05:04,0,2,1,2
13,2017-06-10,05:04,0,0,2,0
14,2017-06-10,05:04,0,0,0,0
15,2017-06-10,05:04,0,0,0,0
16,2017-06-10,05:04,0,0,0,0
17,2017-06-10,05:04,0,0,0,0
18,2017-06-10,05:04,0,0,0,0
19,2017-06-10,05:04,0,0,0,0
1,2017-06-10,05:05,0,0,0,0
2,2017-06-10,05:05,0,0,0,0
3,2017-06-10,05:05,0,0,0,0
4,2017-06-10,05:05,0,0,0,0
5,2017-06-10,05:05,0,0,0,0
6,2017-06-10,05:05,0,0,2,0
7,2017-06-10,05:05,0,0,0,0
8,2017-06-10,05:05,0,0,0,0
9,2017-06-10,05:05,0,0,1,0
10,2017-06-10,05:05,0,0,3,1
11,2017-06-10,05:05,0,1,0,9
12,2017-06-10,05:05,0,0,1,2
13,2017-06-10,05:05,0,0,2,0
14,2017-06-10,05:05,0,0,0,0
15,2017-06-10,05:05,0,0,0,0
16,2017-06-10,05:05,0,0,0,0
17,2017-06-10,05:05,0,0,0,0
18,2017-06-10,05:05,0,0,0,0
19,2017-06-10,05:05,0,0,0,0
1,2017-06-10,05:06,0,0,0,0
2,2017-06-10,05:06,0,0,0,0
3,2017-06-10,05:06,0,0,0,0
4,2017-06-10,05:06,0,0,0,0
5,2017-06-10,05:06,0,0,0,0
6,2017-06-10,05:06,0,0,2,0
7,2017-06-10,05:06,0,0,0,0
8,2017-06-10,05:06,0,0,0,0
9,2017-06-10,05:06,0,0,1,0
10,2017-06-10,05:06,0,0,3,1
11,2017-06-10,05:06,0,1,0,10
12,2017-06-10,05:06,0,0,1,2
13,2017-06-10,05:06,0,0,2,0
14,2017-06-10,05:06,0,0,0,0
15,2017-06-10,05:06,0,0,0,0
16,2017-06-10,05:06,0,0,0,0
17,2017-06-10,05:06,0,0,0,0
18,2017-06-10,05:06,0,0,0,0
19,2017-06-10,05:06,0,0,0,0
1,2017-06-10,05:07,0,0,0,0
2,2017-06-10,05:07,0,0,0,0
3,2017-06-10,05:07,0,0,0,0
4,2017-06-10,05:07,0,0,0,0
5,2017-06-10,05:07,0,0,0,0
6,2017-06-10,05:07,0,0,2,0
7,2017-06-10,05:07,0,0,0,0
8,2017-06-10,05:07,0,0,0,0
9,2017-06-10,05:07,0,0,1,0
10,2017-06-10,05:07,0,0,3,1
11,2017-06-10,05:07,0,0,0,10
12,2017-06-10,05:07,0,0,1,2
13,2017-06-10,05:07,0,0,2,0
14,2017-06-10,05:07,0,0,0,0
15,2017-06-10,05:07,0,0,0,0
16,2017-06-10,05:07,0,0,0,0
17,2017-06-10,05:07,0,0,0,0
18,2017-06-10,05:07,0,0,0,0
19,2017-06-10,05:07,0,0,0,0
1,2017-06-10,05:08,0,0,0,0
2,2017-06-10,05:08,0,0,0,0
3,2017-06-10,05:08,0,0,0,0
4,2017-06-10,05:08,0,0,0,0
5,2017-06-10,05:08,0,0,0,0
6,2017-06-10,05:08,0,0,2,0
7,2017-06-10,05:08,0,0,0,0
8,2017-06-10,05:08,0,0,0,0
9,2017-06-10,05:08,0,0,1,0
10,2017-06-10,05:08,0,0,3,1
11,2017-06-10,05:08,0,0,0,10
12,2017-06-10,05:08,0,0,1,2
13,2017-06-10,05:08,0,0,2,0
14,2017-06-10,05:08,0,0,0,0
15,2017-06-10,05:08,0,0,0,0
16,2017-06-10,05:08,0,0,0,0
17,2017-06-10,05:08,0,0,0,0
18,2017-06-10,05:08,0,0,0,0
19,2017-06-10,05:08,0,0,0,0
1,2017-06-10,05:09,0,0,0,0
2,2017-06-10,05:09,0,0,0,0
3,2017-06-10,05:09,0,0,0,0
4,2017-06-10,05:09,0,0,0,0
5,2017-06-10,05:09,0,0,0,0
6,2017-06-10,05:09,0,0,2,0
7,2017-06-10,05:09,0,0,0,0
8,2017-06-10,05:09,0,0,0,0
9,2017-06-10,05:09,0,0,1,0
10,2017-06-10,05:09,0,0,3,1
11,2017-06-10,05:09,0,0,0,10
12,2017-06-10,05:09,0,0,1,2
13,2017-06-10,05:09,1,0,3,0
14,2017-06-10,05:09,0,0,0,0
15,2017-06-10,05:09,0,0,0,0
16,2017-06-10,05:09,0,0,0,0
17,2017-06-10,05:09,0,0,0,0
18,2017-06-10,05:09,0,0,0,0
19,2017-06-10,05:09,0,0,0,0
1,2017-06-10,05:10,0,0,0,0
2,2017-06-10,05:10,0,0,0,0
3,2017-06-10,05:10,0,0,0,0
4,2017-06-10,05:10,0,0,0,0
5,2017-06-10,05:10,0,0,0,0
6,2017-06-10,05:10,0,0,2,0
7,2017-06-10,05:10,0,0,0,0
8,2017-06-10,05:10,0,0,0,0
9,2017-06-10,05:10,0,1,1,1
10,2017-06-10,05:10,2,0,5,1
11,2017-06-10,05:10,0,0,0,10
12,2017-06-10,05:10,0,0,1,2
13,2017-06-10,05:10,0,0,3,0
14,2017-06-10,05:10,0,0,0,0
15,2017-06-10,05:10,0,0,0,0
16,2017-06-10,05:10,0,0,0,0
17,2017-06-10,05:10,0,0,0,0
18,2017-06-10,05:10,0,0,0,0
19,2017-06-10,05:10,0,0,0,0
1,2017-06-10,05:11,0,0,0,0
2,2017-06-10,05:11,0,0,0,0
3,2017-06-10,05:11,0,0,0,0
4,2017-06-10,05:11,0,0,0,0
5,2017-06-10,05:11,0,0,0,0
6,2017-06-10,05:11,0,0,2,0
7,2017-06-10,05:11,0,0,0,0
8,2017-06-10,05:11,0,0,0,0
9,2017-06-10,05:11,0,0,1,1
10,2017-06-10,05:11,0,1,5,2
11,2017-06-10,05:11,0,0,0,10
12,2017-06-10,05:11,0,0,1,2
13,2017-06-10,05:11,1,0,4,0
14,2017-06-10,05:11,0,0,0,0
15,2017-06-10,05:11,0,0,0,0
16,2017-06-10,05:11,0,0,0,0
17,2017-06-10,05:11,0,0,0,0
18,2017-06-10,05:11,0,0,0,0
19,2017-06-10,05:11,0,0,0,0
1,2017-06-10,05:12,0,0,0,0
2,2017-06-10,05:12,0,0,0,0
3,2017-06-10,05:12,0,0,0,0
4,2017-06-10,05:12,0,0,0,0
5,2017-06-10,05:12,0,0,0,0
6,2017-06-10,05:12,0,0,2,0
7,2017-06-10,05:12,0,0,0,0
8,2017-06-10,05:12,0,0,0,0
9,2017-06-10,05:12,0,0,1,1
10,2017-06-10,05:12,0,0,5,2
11,2017-06-10,05:12,0,0,0,10
12,2017-06-10,05:12,0,0,1,2
13,2017-06-10,05:12,1,0,5,0
14,2017-06-10,05:12,0,0,0,0
15,2017-06-10,05:12,0,0,0,0
16,2017-06-10,05:12,0,0,0,0
17,2017-06-10,05:12,0,0,0,0
18,2017-06-10,05:12,0,0,0,0
19,2017-06-10,05:12,0,0,0,0
1,2017-06-10,05:13,0,0,0,0
2,2017-06-10,05:13,0,0,0,0
3,2017-06-10,05:13,0,0,0,0
4,2017-06-10,05:13,0,0,0,0
5,2017-06-10,05:13,0,0,0,0
6,2017-06-10,05:13,0,0,2,0
7,2017-06-10,05:13,0,0,0,0
8,2017-06-10,05:13,0,0,0,0
9,2017-06-10,05:13,0,0,1,1
10,2017-06-10,05:13,0,0,5,2
11,2017-06-10,05:13,0,0,0,10
12,2017-06-10,05:13,0,0,1,2
13,2017-06-10,05:13,0,0,5,0
14,2017-06-10,05:13,0,0,0,0
15,2017-06-10,05:13,0,0,0,0
16,2017-06-10,05:13,0,0,0,0
17,2017-06-10,05:13,0,0,0,0
18,2017-06-10,05:13,0,0,0,0
19,2017-06-10,05:13,0,0,0,0
1,2017-06-10,05:14,0,0,0,0
2,2017-06-10,05:14,0,0,0,0
3,2017-06-10,05:14,0,0,0,0
4,2017-06-10,05:14,0,0,0,0
5,2017-06-10,05:14,0,0,0,0
6,2017-06-10,05:14,0,0,2,0
7,2017-06-10,05:14,0,0,0,0
8,2017-06-10,05:14,0,0,0,0
9,2017-06-10,05:14,0,0,1,1
10,2017-06-10,05:14,0,0,5,2
11,2017-06-10,05:14,0,0,0,10
12,2017-06-10,05:14,0,2,1,4
13,2017-06-10,05:14,0,0,5,0
14,2017-06-10,05:14,0,0,0,0
15,2017-06-10,05:14,0,0,0,0
16,2017-06-10,05:14,0,0,0,0
17,2017-06-10,05:14,0,0,0,0
18,2017-06-10,05:14,0,0,0,0
19,2017-06-10,05:14,0,0,0,0
1,2017-06-10,05:15,0,0,0,0
2,2017-06-10,05:15,0,0,0,0
3,2017-06-10,05:15,0,0,0,0
4,2017-06-10,05:15,0,0,0,0
5,2017-06-10,05:15,0,0,0,0
6,2017-06-10,05:15,0,0,2,0
7,2017-06-10,05:15,0,0,0,0
8,2017-06-10,05:15,0,0,0,0
9,2017-06-10,05:15,0,0,1,1
10,2017-06-10,05:15,0,1,5,3
11,2017-06-10,05:15,0,0,0,10
12,2017-06-10,05:15,2,0,3,4
13,2017-06-10,05:15,1,0,6,0
14,2017-06-10,05:15,0,0,0,0
15,2017-06-10,05:15,0,0,0,0
16,2017-06-10,05:15,0,0,0,0
17,2017-06-10,05:15,0,0,0,0
18,2017-06-10,05:15,0,0,0,0
19,2017-06-10,05:15,0,0,0,0
1,2017-06-10,05:16,0,0,0,0
2,2017-06-10,05:16,0,0,0,0
3,2017-06-10,05:16,0,0,0,0
4,2017-06-10,05:16,0,0,0,0
5,2017-06-10,05:16,0,0,0,0
6,2017-06-10,05:16,0,0,2,0
7,2017-06-10,05:16,0,0,0,0
8,2017-06-10,05:16,0,0,0,0
9,2017-06-10,05:16,0,0,1,1
10,2017-06-10,05:16,0,0,5,3
11,2017-06-10,05:16,0,0,0,10
12,2017-06-10,05:16,0,0,3,4
13,2017-06-10,05:16,0,0,6,0
14,2017-06-10,05:16,0,0,0,0
15,2017-06-10,05:16,0,0,0,0
16,2017-06-10,05:16,0,0,0,0
17,2017-06-10,05:16,0,0,0,0
18,2017-06-10,05:16,0,0,0,0
19,2017-06-10,05:16,0,0,0,0
1,2017-06-10,05:17,0,0,0,0
2,2017-06-10,05:17,0,0,0,0
3,2017-06-10,05:17,0,0,0,0
4,2017-06-10,05:17,0,0,0,0
5,2017-06-10,05:17,0,0,0,0
6,2017-06-10,05:17,0,0,2,0
7,2017-06-10,05:17,0,0,0,0
8,2017-06-10,05:17,0,0,0,0
9,2017-06-10,05:17,0,0,1,1
10,2017-06-10,05:17,0,0,5,3
11,2017-06-10,05:17,0,0,0,10
12,2017-06-10,05:17,0,0,3,4
13,2017-06-10,05:17,0,0,6,0
14,2017-06-10,05:17,0,0,0,0
15,2017-06-10,05:17,0,0,0,0
16,2017-06-10,05:17,0,0,0,0
17,2017-06-10,05:17,0,0,0,0
18,2017-06-10,05:17,0,0,0,0
19,2017-06-10,05:17,0,0,0,0
1,2017-06-10,05:18,0,0,0,0
2,2017-06-10,05:18,0,0,0,0
3,2017-06-10,05:18,0,0,0,0
4,2017-06-10,05:18,0,0,0,0
5,2017-06-10,05:18,0,0,0,0
6,2017-06-10,05:18,2,0,4,0
7,2017-06-10,05:18,0,0,0,0
8,2017-06-10,05:18,0,0,0,0
9,2017-06-10,05:18,0,0,1,1
10,2017-06-10,05:18,0,0,5,3
11,2017-06-10,05:18,0,0,0,10
12,2017-06-10,05:18,0,0,3,4
13,2017-06-10,05:18,1,1,7,1
14,2017-06-10,05:18,0,0,0,0
15,2017-06-10,05:18,0,0,0,0
16,2017-06-10,05:18,0,0,0,0
17,2017-06-10,05:18,0,0,0,0
18,2017-06-10,05:18,0,0,0,0
19,2017-06-10,05:18,0,0,0,0
1,2017-06-10,05:19,0,0,0,0
2,2017-06-10,05:19,0,0,0,0
3,2017-06-10,05:19,0,0,0,0
4,2017-06-10,05:19,0,0,0,0
5,2017-06-10,05:19,0,0,0,0
6,2017-06-10,05:19,0,0,4,0
7,2017-06-10,05:19,0,0,0,0
8,2017-06-10,05:19,0,0,0,0
9,2017-06-10,05:19,0,0,1,1
10,2017-06-10,05:19,2,0,7,3
11,2017-06-10,05:19,0,1,0,11
12,2017-06-10,05:19,0,0,3,4
13,2017-06-10,05:19,0,0,7,1
14,2017-06-10,05:19,0,0,0,0
15,2017-06-10,05:19,0,0,0,0
16,2017-06-10,05:19,0,0,0,0
17,2017-06-10,05:19,0,0,0,0
18,2017-06-10,05:19,0,0,0,0
19,2017-06-10,05:19,0,0,0,0
1,2017-06-10,05:20,0,0,0,0
2,2017-06-10,05:20,0,0,0,0
3,2017-06-10,05:20,0,0,0,0
4,2017-06-10,05:20,0,0,0,0
5,2017-06-10,05:20,0,0,0,0
6,2017-06-10,05:20,0,0,4,0
7,2017-06-10,05:20,0,0,0,0
8,2017-06-10,05:20,0,0,0,0
9,2017-06-10,05:20,2,0,3,1
10,2017-06-10,05:20,1,2,8,5
11,2017-06-10,05:20,0,0,0,11
12,2017-06-10,05:20,0,0,3,4
13,2017-06-10,05:20,0,2,7,3
14,2017-06-10,05:20,0,0,0,0
15,2017-06-10,05:20,0,0,0,0
16,2017-06-10,05:20,0,0,0,0
17,2017-06-10,05:20,0,0,0,0
18,2017-06-10,05:20,0,0,0,0
19,2017-06-10,05:20,0,0,0,0
1,2017-06-10,05:21,0,0,0,0
2,2017-06-10,05:21,0,0,0,0
3,2017-06-10,05:21,0,0,0,0
4,2017-06-10,05:21,0,0,0,0
5,2017-06-10,05:21,0,0,0,0
6,2017-06-10,05:21,1,2,5,2
7,2017-06-10,05:21,0,0,0,0
8,2017-06-10,05:21,0,0,0,0
9,2017-06-10,05:21,1,0,4,1
10,2017-06-10,05:21,0,0,8,5
11,2017-06-10,05:21,0,0,0,11
12,2017-06-10,05:21,0,2,3,6
13,2017-06-10,05:21,2,0,9,3
14,2017-06-10,05:21,0,0,0,0
15,2017-06-10,05:21,0,0,0,0
16,2017-06-10,05:21,0,0,0,0
17,2017-06-10,05:21,0,0,0,0
18,2017-06-10,05:21,0,0,0,0
19,2017-06-10,05:21,0,0,0,0
1,2017-06-10,05:22,0,0,0,0
2,2017-06-10,05:22,0,0,0,0
3,2017-06-10,05:22,0,0,0,0
4,2017-06-10,05:22,0,0,0,0
5,2017-06-10,05:22,0,0,0,0
6,2017-06-10,05:22,0,0,5,2
7,2017-06-10,05:22,0,0,0,0
8,2017-06-10,05:22,0,0,0,0
9,2017-06-10,05:22,0,0,4,1
10,2017-06-10,05:22,0,0,8,5
11,2017-06-10,05:22,0,0,0,11
12,2017-06-10,05:22,0,2,3,8
13,2017-06-10,05:22,1,0,10,3
14,2017-06-10,05:22,0,0,0,0
15,2017-06-10,05:22,0,0,0,0
16,2017-06-10,05:22,0,0,0,0
17,2017-06-10,05:22,0,0,0,0
18,2017-06-10,05:22,0,0,0,0
19,2017-06-10,05:22,0,0,0,0
1,2017-06-10,05:23,0,0,0,0
2,2017-06-10,05:23,0,0,0,0
3,2017-06-10,05:23,0,0,0,0
4,2017-06-10,05:23,0,0,0,0
5,2017-06-10,05:23,0,0,0,0
6,2017-06-10,05:23,0,0,5,2
7,2017-06-10,05:23,0,0,0,0
8,2017-06-10,05:23,0,0,0,0
9,2017-06-10,05:23,2,0,6,1
10,2017-06-10,05:23,0,0,8,5
11,2017-06-10,05:23,0,0,0,11
12,2017-06-10,05:23,1,0,4,8
13,2017-06-10,05:23,0,0,10,3
14,2017-06-10,05:23,0,0,0,0
15,2017-06-10,05:23,0,0,0,0
16,2017-06-10,05:23,0,0,0,0
17,2017-06-10,05:23,0,0,0,0
18,2017-06-10,05:23,0,0,0,0
19,2017-06-10,05:23,0,0,0,0
1,2017-06-10,05:24,0,0,0,0
2,2017-06-10,05:24,0,0,0,0
3,2017-06-10,05:24,0,0,0,0
4,2017-06-10,05:24,0,0,0,0
5,2017-06-10,05:24,0,0,0,0
6,2017-06-10,05:24,0,0,5,2
7,2017-06-10,05:24,0,0,0,0
8,2017-06-10,05:24,0,0,0,0
9,2017-06-10,05:24,0,0,6,1
10,2017-06-10,05:24,0,0,8,5
11,2017-06-10,05:24,0,0,0,11
12,2017-06-10,05:24,1,0,5,8
13,2017-06-10,05:24,0,0,10,3
14,2017-06-10,05:24,0,0,0,0
15,2017-06-10,05:24,0,0,0,0
16,2017-06-10,05:24,0,0,0,0
17,2017-06-10,05:24,0,0,0,0
18,2017-06-10,05:24,0,0,0,0
19,2017-06-10,05:24,0,0,0,0
1,2017-06-10,05:25,0,0,0,0
2,2017-06-10,05:25,0,0,0,0
3,2017-06-10,05:25,0,0,0,0
4,2017-06-10,05:25,0,0,0,0
5,2017-06-10,05:25,0,0,0,0
6,2017-06-10,05:25,0,0,5,2
7,2017-06-10,05:25,0,0,0,0
8,2017-06-10,05:25,0,0,0,0
9,2017-06-10,05:25,0,0,6,1
10,2017-06-10,05:25,1,0,9,5
11,2017-06-10,05:25,0,0,0,11
12,2017-06-10,05:25,0,0,5,8
13,2017-06-10,05:25,0,0,10,3
14,2017-06-10,05:25,0,0,0,0
15,2017-06-10,05:25,0,0,0,0
16,2017-06-10,05:25,0,0,0,0
17,2017-06-10,05:25,0,0,0,0
18,2017-06-10,05:25,0,0,0,0
19,2017-06-10,05:25,0,0,0,0
1,2017-06-10,05:26,0,0,0,0
2,2017-06-10,05:26,0,0,0,0
3,2017-06-10,05:26,0,0,0,0
4,2017-06-10,05:26,0,0,0,0
5,2017-06-10,05:26,0,0,0,0
6,2017-06-10,05:26,0,0,5,2
7,2017-06-10,05:26,0,0,0,0
8,2017-06-10,05:26,0,0,0,0
9,2017-06-10,05:26,0,0,6,1
10,2017-06-10,05:26,0,0,9,5
11,2017-06-10,05:26,0,0,0,11
12,2017-06-10,05:26,0,0,5,8
13,2017-06-10,05:26,1,0,11,3
14,2017-06-10,05:26,0,0,0,0
15,2017-06-10,05:26,0,0,0,0
