1,2017-08-18,05:00,0,0,0,0
2,2017-08-18,05:00,0,0,0,0
3,2017-08-18,05:00,0,0,0,0
4,2017-08-18,05:00,0,0,0,0
5,2017-08-18,05:00,0,0,0,0
6,2017-08-18,05:00,0,0,0,0
7,2017-08-18,05:00,0,0,0,0
8,2017-08-18,05:00,0,0,0,0
9,2017-08-18,05:00,0,0,0,0
10,2017-08-18,05:00,0,0,0,0
11,2017-08-18,05:00,0,0,0,0
12,2017-08-18,05:00,0,1,0,1
13,2017-08-18,05:00,0,0,0,0
14,2017-08-18,05:00,0,0,0,0
15,2017-08-18,05:00,0,0,0,0
16,2017-08-18,05:00,0,0,0,0
17,2017-08-18,05:00,0,0,0,0
18,2017-08-18,05:00,0,0,0,0
19,2017-08-18,05:00,0,0,0,0
1,2017-08-18,05:01,0,0,0,0
2,2017-08-18,05:01,0,0,0,0
3,2017-08-18,05:01,0,0,0,0
4,2017-08-18,05:01,0,0,0,0
5,2017-08-18,05:01,0,0,0,0
6,2017-08-18,05:01,1,0,1,0
7,2017-08-18,05:01,0,0,0,0
8,2017-08-18,05:01,0,0,0,0
9,2017-08-18,05:01,0,0,0,0
10,2017-08-18,05:01,0,0,0,0
11,2017-08-18,05:01,0,2,0,2
12,2017-08-18,05:01,0,0,0,1
13,2017-08-18,05:01,0,0,0,0
14,2017-08-18,05:01,0,0,0,0
15,2017-08-18,05:01,0,0,0,0
16,2017-08-18,05:01,0,0,0,0
17,2017-08-18,05:01,0,0,0,0
18,2017-08-18,05:01,0,0,0,0
19,2017-08-18,05:01,0,0,0,0
1,2017-08-18,05:02,0,0,0,0
2,2017-08-18,05:02,0,0,0,0
3,2017-08-18,05:02,0,0,0,0
4,2017-08-18,05:02,0,0,0,0
5,2017-08-18,05:02,0,0,0,0
6,2017-08-18,05:02,0,0,1,0
7,2017-08-18,05:02,0,0,0,0
8,2017-08-18,05:02,0,0,0,0
9,2017-08-18,05:02,0,0,0,0
10,2017-08-18,05:02,0,0,0,0
11,2017-08-18,05:02,0,2,0,4
12,2017-08-18,05:02,0,0,0,1
13,2017-08-18,05:02,0,0,0,0
14,2017-08-18,05:02,0,0,0,0
15,2017-08-18,05:02,0,0,0,0
16,2017-08-18,05:02,0,0,0,0
17,2017-08-18,05:02,0,0,0,0
18,2017-08-18,05:02,0,0,0,0
19,2017-08-18,05:02,0,0,0,0
1,2017-08-18,05:03,0,0,0,0
2,2017-08-18,05:03,0,0,0,0
3,2017-08-18,05:03,0,0,0,0
4,2017-08-18,05:03,0,0,0,0
5,2017-08-18,05:03,0,0,0,0
6,2017-08-18,05:03,0,0,1,0
7,2017-08-18,05:03,0,0,0,0
8,2017-08-18,05:03,0,0,0,0
9,2017-08-18,05:03,1,1,1,1
10,2017-08-18,05:03,2,0,2,0
11,2017-08-18,05:03,0,1,0,5
12,2017-08-18,05:03,0,0,0,1
13,2017-08-18,05:03,0,0,0,0
14,2017-08-18,05:03,0,0,0,0
15,2017-08-18,05:03,0,0,0,0
16,2017-08-18,05:03,0,0,0,0
17,2017-08-18,05:03,0,0,0,0
18,2017-08-18,05:03,0,0,0,0
19,2017-08-18,05:03,0,0,0,0
1,2017-08-18,05:04,0,0,0,0
2,2017-08-18,05:04,0,0,0,0
3,2017-08-18,05:04,0,0,0,0
4,2017-08-18,05:04,0,0,0,0
5,2017-08-18,05:04,0,0,0,0
6,2017-08-18,05:04,0,0,1,0
7,2017-08-18,05:04,0,0,0,0
8,2017-08-18,05:04,0,0,0,0
9,2017-08-18,05:04,0,0,1,1
10,2017-08-18,05:04,0,0,2,0
11,2017-08-18,05:04,0,0,0,5
12,2017-08-18,05:04,0,0,0,1
13,2017-08-18,05:04,0,0,0,0
14,2017-08-18,05:04,0,0,0,0
15,2017-08-18,05:04,0,0,0,0
16,2017-08-18,05:04,0,0,0,0
17,2017-08-18,05:04,0,0,0,0
18,2017-08-18,05:04,0,0,0,0
19,2017-08-18,05:04,0,0,0,0
1,2017-08-18,05:05,0,0,0,0
2,2017-08-18,05:05,0,0,0,0
3,2017-08-18,05:05,0,0,0,0
4,2017-08-18,05:05,0,0,0,0
5,2017-08-18,05:05,0,0,0,0
6,2017-08-18,05:05,1,0,2,0
7,2017-08-18,05:05,0,0,0,0
8,2017-08-18,05:05,0,0,0,0
9,2017-08-18,05:05,1,0,2,1
10,2017-08-18,05:05,0,0,2,0
11,2017-08-18,05:05,0,1,0,6
12,2017-08-18,05:05,1,0,1,1
13,2017-08-18,05:05,1,0,1,0
14,2017-08-18,05:05,0,0,0,0
15,2017-08-18,05:05,0,0,0,0
16,2017-08-18,05:05,0,0,0,0
17,2017-08-18,05:05,0,0,0,0
18,2017-08-18,05:05,0,0,0,0
19,2017-08-18,05:05,0,0,0,0
1,2017-08-18,05:06,0,0,0,0
2,2017-08-18,05:06,0,0,0,0
3,2017-08-18,05:06,0,0,0,0
4,2017-08-18,05:06,0,0,0,0
5,2017-08-18,05:06,0,0,0,0
6,2017-08-18,05:06,0,0,2,0
7,2017-08-18,05:06,0,0,0,0
8,2017-08-18,05:06,0,0,0,0
9,2017-08-18,05:06,0,0,2,1
10,2017-08-18,05:06,0,0,2,0
11,2017-08-18,05:06,0,1,0,7
12,2017-08-18,05:06,0,0,1,1
13,2017-08-18,05:06,0,0,1,0
14,2017-08-18,05:06,0,0,0,0
15,2017-08-18,05:06,0,0,0,0
16,2017-08-18,05:06,0,0,0,0
17,2017-08-18,05:06,0,0,0,0
18,2017-08-18,05:06,0,0,0,0
19,2017-08-18,05:06,0,0,0,0
1,2017-08-18,05:07,0,0,0,0
2,2017-08-18,05:07,0,0,0,0
3,2017-08-18,05:07,0,0,0,0
4,2017-08-18,05:07,0,0,0,0
5,2017-08-18,05:07,0,0,0,0
6,2017-08-18,05:07,0,1,2,1
7,2017-08-18,05:07,0,0,0,0
8,2017-08-18,05:07,0,0,0,0
9,2017-08-18,05:07,0,0,2,1
10,2017-08-18,05:07,1,0,3,0
11,2017-08-18,05:07,0,0,0,7
12,2017-08-18,05:07,0,0,1,1
13,2017-08-18,05:07,0,0,1,0
14,2017-08-18,05:07,0,0,0,0
15,2017-08-18,05:07,0,0,0,0
16,2017-08-18,05:07,0,0,0,0
17,2017-08-18,05:07,0,0,0,0
18,2017-08-18,05:07,0,0,0,0
19,2017-08-18,05:07,0,0,0,0
1,2017-08-18,05:08,0,0,0,0
2,2017-08-18,05:08,0,0,0,0
3,2017-08-18,05:08,0,0,0,0
4,2017-08-18,05:08,0,0,0,0
5,2017-08-18,05:08,0,0,0,0
6,2017-08-18,05:08,0,0,2,1
7,2017-08-18,05:08,0,0,0,0
8,2017-08-18,05:08,0,0,0,0
9,2017-08-18,05:08,0,1,2,2
10,2017-08-18,05:08,0,0,3,0
11,2017-08-18,05:08,0,0,0,7
12,2017-08-18,05:08,0,0,1,1
13,2017-08-18,05:08,0,0,1,0
14,2017-08-18,05:08,0,0,0,0
15,2017-08-18,05:08,0,0,0,0
16,2017-08-18,05:08,0,0,0,0
17,2017-08-18,05:08,0,0,0,0
18,2017-08-18,05:08,0,0,0,0
19,2017-08-18,05:08,0,0,0,0
1,2017-08-18,05:09,0,0,0,0
2,2017-08-18,05:09,0,0,0,0
3,2017-08-18,05:09,0,0,0,0
4,2017-08-18,05:09,0,0,0,0
5,2017-08-18,05:09,0,0,0,0
6,2017-08-18,05:09,0,0,2,1
7,2017-08-18,05:09,0,0,0,0
8,2017-08-18,05:09,0,0,0,0
9,2017-08-18,05:09,0,0,2,2
10,2017-08-18,05:09,0,0,3,0
11,2017-08-18,05:09,0,1,0,8
12,2017-08-18,05:09,0,0,1,1
13,2017-08-18,05:09,1,0,2,0
14,2017-08-18,05:09,0,0,0,0
15,2017-08-18,05:09,0,0,0,0
16,2017-08-18,05:09,0,0,0,0
17,2017-08-18,05:09,0,0,0,0
18,2017-08-18,05:09,0,0,0,0
19,2017-08-18,05:09,0,0,0,0
1,2017-08-18,05:10,0,0,0,0
2,2017-08-18,05:10,0,0,0,0
3,2017-08-18,05:10,0,0,0,0
4,2017-08-18,05:10,0,0,0,0
5,2017-08-18,05:10,0,0,0,0
6,2017-08-18,05:10,0,0,2,1
7,2017-08-18,05:10,0,0,0,0
8,2017-08-18,05:10,0,0,0,0
9,2017-08-18,05:10,0,0,2,2
10,2017-08-18,05:10,0,1,3,1
11,2017-08-18,05:10,0,0,0,8
12,2017-08-18,05:10,0,0,1,1
13,2017-08-18,05:10,1,0,3,0
14,2017-08-18,05:10,0,0,0,0
15,2017-08-18,05:10,0,0,0,0
16,2017-08-18,05:10,0,0,0,0
17,2017-08-18,05:10,0,0,0,0
18,2017-08-18,05:10,0,0,0,0
19,2017-08-18,05:10,0,0,0,0
1,2017-08-18,05:11,0,0,0,0
2,2017-08-18,05:11,0,0,0,0
3,2017-08-18,05:11,0,0,0,0
4,2017-08-18,05:11,0,0,0,0
5,2017-08-18,05:11,0,0,0,0
6,2017-08-18,05:11,0,0,2,1
7,2017-08-18,05:11,0,0,0,0
8,2017-08-18,05:11,0,0,0,0
9,2017-08-18,05:11,0,0,2,2
10,2017-08-18,05:11,0,0,3,1
11,2017-08-18,05:11,0,0,0,8
12,2017-08-18,05:11,0,0,1,1
13,2017-08-18,05:11,0,0,3,0
14,2017-08-18,05:11,0,0,0,0
15,2017-08-18,05:11,0,0,0,0
16,2017-08-18,05:11,0,0,0,0
17,2017-08-18,05:11,0,0,0,0
18,2017-08-18,05:11,0,0,0,0
